_exit          OS_exit
accept         OSaccept
asprintf       OSasprintf
bind           OSbind
basename       OSbasename
calloc         OScalloc
chdir          OSchdir
clearenv       OSclearenv
clock          OSclock
clock_gettime  OSclock_gettime
close          OSclose
closedir       OSclosedir
connect        OSconnect
dup            OSdup
dup2           OSdup2
exit           OSexit
free           OSfree
fclose         OSfclose
fdopen         OSfdopen
fgetc          OSfgetc
fopen          OSfopen
fprintf        OSfprintf
fputc          OSfputc
fcntl          OSfcntl
fputs          OSfputs
fread          OSfread
fseek          OSfseek
fwrite         OSfwrite
fsync          OSfsync
fstat          OSfstat
ftell          OSftell
ftruncate      OSftruncate
getenv         OSgetenv
getopt         OSgetopt
getpid         OSgetpid
gettimeofday   OSgettimeofday
htons          OShtons
ntohs          OShntohs
if_indextoname OSif_indextoname
if_nametoindex OSif_nametoindex
ioctl          OSioctl
isatty         OSisatty
kill           OSkill
link           OSlink
listen         OSlisten
lseek          OSlseek
mallinfo       OSmallinfo
malloc         OSmalloc
malloc_init    OSmalloc_init
memcmp         OSmemcmp
memcpy         OSmemcpy
memset         OSmemset
mkfifo         OSmkfifo
mktime         OSmktime
mq_close       OSmq_close
mkdir          OSmkdir
mount          OSmount
open           OSopen
opendir        OSopendir
nanosleep      OSnanosleep
pipe           OSpipe
poll           OSpoll
printf         OSprintf
pthread_create OSpthread_create
pthread_detach OSpthread_detach
pthread_exit   OSpthread_exit
pthread_getspecific OSpthread_getspecific
pthread_key_create OSpthread_key_create
pthread_kill   OSpthread_kill
pthread_join   OSpthread_join
pthread_mutex_destroy OSpthread_mutex_destroy
pthread_mutex_init OSpthread_mutex_init
pthread_mutex_lock OSpthread_mutex_lock
pthread_mutex_unlock OSpthread_mutex_unlock
pthread_setspecific OSpthread_setspecific
pthread_setcancelstate OSpthread_setcancelstate
pthread_setcanceltype OSpthread_setcanceltype
pthread_sigmask OSpthread_sigmask
pthread_testcancel OSpthread_testcancel
pthread_yield  OSpthread_yield
ptsname        OSptsname
ptsname_r      OSptsname_r
puts           OSputs
read           OSread
readdir        OSreaddir
readlink       OSreadlink
realloc        OSrealloc
recv           OSrecv
recvfrom       OSrecvfrom
rename         OSrename
rewinddir      OSrewinddir
rmdir          OSrmdir
sched_setparam OSsched_setparam
sched_yield    OSsched_yield
seekdir        OSseekdir
select         OSselect
sem_destroy    OSsem_destroy
sem_getvalue   OSsem_getvalue
sem_init       OSsem_init
sem_post       OSsem_post
sem_wait       OSsem_wait
sem_timedwait  OSsem_timedwait
sem_trywait    OSsem_trywait
send           OSsend
sendto         OSsendto
setenv         OSsetenv
setlogmask     OSsetlogmask
setsockopt     OSsetsockopt
setvbuf        OSsetvbuf
sigaction      OSsigaction
sigaddset      OSsigaddset
sigdelset      OSsigdelset
sigemptyset    OSsigemptyset
sigfillset     OSsigfillset
sighold        OSsighold
sigismember    OSsigismember
sigprocmask    OSsigprocmask
sigtimedwait   OSsigtimedwait
sigrelse       OSsigrelse
sleep          OSsleep
snprintf       OSsnprintf
socket         OSsocket
sprintf        OSsprintf
stat           OSstat
statfs         OSstatfs
strcat         OSstrcat
strchr         OSstrchr
strcmp         OSstrcmp
strcpy         OSstrcpy
strcspn        OSstrcspn
strdup         OSstrdup
strftime       OSstrftime
strlen         OSstrlen
strncasecmp    OSstrncasecmp
strncmp        OSstrncmp
strncpy        OSstrncpy
strnlen        OSstrnlen
strrchr        OSstrrchr
strtok_r       OSstrtok_r
strtol         OSstrtol
strtoul        OSstrtoul
syslog         OSsyslog
system         OSsystem
tcgetattr      OStcgetattr
tcsetattr      OStcsetattr
umount2        OSumount2
unlink         OSunlink
unlockpt       OSunlockpt
uname          OSuname
unsetenv       OSunsetenv
usleep         OSusleep
vasprintf      OSvasprintf
vfork          OSvfork
vfprintf       OSvfprintf
vsyslog        OSvsyslog
vsnprintf      OSvsnprintf
write          OSwrite
waitpid        OSwaitpid
zmalloc        OSzmalloc
